branch,long,lat
"2 Eaton St, Oakleigh, VIC, 3166",145.0905656,-37.8987946
"19-21 Douglas Parade, Williamstown, VIC, 3016",144.8978057,-37.8579551
"64 Elizabeth St, Edenhope, VIC, 3318",141.296383,-37.035876
"50 Ranelagh Dr, Mount Eliza, VIC, 3930",145.088862,-38.18414
"76 High St, Mansfield, VIC, 3722",146.0890137,-37.0525329
"67 High Street, Wallan, VIC, 3756",144.978738,-37.41368
"Drysdale Village Shopping Centre, 16 Wyndham St, Drysdale Village Shopping Centre, Drysdale, VIC, 3222",144.5695731,-38.1728522
"158 Scott St, Warracknabeal, VIC, 3393",142.394765,-36.252451
"40 Station St, Seymour, VIC, 3660",145.1375904,-37.0242532
"381 Wyndham St, Shepparton, VIC, 3630",145.3995252,-36.3822347
"Chifley Business Park, 1 Joseph Avenue, Chifley Business Park, Moorabbin Airport, VIC, 3194",145.1092151,-37.972464
"89 Johnson St, Maffra, VIC, 3860",146.975165,-37.9666644
"93 High St, Terang, VIC, 3264",142.9174662,-38.2414471
"149 High St, Maryborough, VIC, 3465",143.738493,-37.0462757
"245 Raymond St, Sale, VIC, 3850",147.0654176,-38.1080942
"Westfield Airport West, 25-35 Louis St, Westfield Airport West, Airport West, VIC, 3042",144.887986,-37.713926
"34 Ireland St, Bright, VIC, 3741",146.961136,-36.728317
"81 Punt Rd, Cobram, VIC, 3644",145.6473098,-35.9201956
"54 High St, Hastings, VIC, 3915",145.1911573,-38.307648
"41 Melville St, Numurkah, VIC, 3636",145.442395,-36.089753
"726 Mountain Hwy, Bayswater, VIC, 3153",145.2657309,-37.8411457
"51 Victoria St, Nhill, VIC, 3418",141.6489334,-36.3345217
"64 Percy St, Portland, VIC, 3305",141.6038639,-38.3471292
"322 High St, Nagambie, VIC, 3608",145.1543189,-36.7844834
"23 McCartin St, Leongatha, VIC, 3953",145.9451568,-38.4770939
"103-105 Koornang Road, Carnegie, VIC, 3163",145.057323,-37.887943
"29 Brantome St, Gisborne, VIC, 3437",144.5898331,-37.4865957
"211 Commercial Rd, Yarram, VIC, 3971",146.67645,-38.562622
"104 High St, Heathcote, VIC, 3523",144.710614,-36.924546
"18 Sydney Street, Kilmore, VIC, 3764",144.9515965,-37.2937679
"33 Roy St, Jeparit, VIC, 3423",141.987825,-36.142054
"44 Victoria St, Kerang, VIC, 3579",143.9202858,-35.7339297
"Dromana Hub Shopping Centre, 217 Nepean Highway, Dromana Hub Shopping Centre, Dromana, VIC, 3936",144.965086,-38.332681
"49 Main St, Timboon, VIC, 3268",142.979367,-38.484329
"Glendinning St, Balmoral, VIC, 3407",141.841341,-37.247477
"67-69 Grant St, Alexandra, VIC, 3714",145.710066,-37.191904
"34 Curdie St, Cobden, VIC, 3266",143.077458,-38.328441
"69 Commercial St, Kaniva, VIC, 3419",141.239545,-36.378511
"342-344 Belgrave-Gembrook Rd, Emerald, VIC, 3782",145.440508,-37.932321
"131 Gray St, Hamilton, VIC, 3300",142.0240071,-37.743253
"3 A'Beckett St, Inverloch, VIC, 3996",145.7282765,-38.6338973
"182 Allan St, Kyabram, VIC, 3620",145.046982,-36.31364
"29 Napier St, St Arnaud, VIC, 3478",143.2575658,-36.6158294
"40 Federal St, Rainbow, VIC, 3424",141.994995,-35.898205
"16 Gilbert Street, Torquay, VIC, 3228",144.3243424,-38.3320921
"299-301 Esplanade, Lakes Entrance, VIC, 3909",147.9835208,-37.8812814
"Midtown Plaza, 186 Swanston Street, Midtown Plaza, Melbourne, VIC, 3000",144.9654723,-37.8131315
"104 Main St, Rutherglen, VIC, 3685",146.460001,-36.054299
